CustomerID,Recency,Frequency,Monetary,TotalQuantity,Country,AvgOrderValue,Cluster,DBSCAN,Agglomerative,Segment_Name,Business_Recommendation,PC1,PC2
12346.0,326,1,77183.6,74215,35,77183.6,1,-1,3,High Value Loyal,"Offer VIP rewards, exclusive products, and premium membership.",25.66747744942356,27.886558575931268
12347.0,2,7,4310.0,2458,16,615.7142857142857,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.7857814528261302,-0.027557234101580577
12348.0,75,4,1797.24,2341,12,449.31,0,0,0,At Risk,Provide special discounts and win-back offers.,0.32650956508381757,0.6837220132218349
12349.0,19,1,1757.55,631,18,1757.55,0,0,0,At Risk,Provide special discounts and win-back offers.,0.2096765875604624,0.6353826687225929
12350.0,310,1,334.4,197,24,334.4,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.6996211469591558,1.8918740997137744
12352.0,36,8,2506.04,536,24,313.255,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.32406794148966644,-0.2901431653786863
12353.0,204,1,89.0,20,2,89.0,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.40607111699867815,1.8885744767180643
12354.0,232,1,1079.4,530,30,1079.4,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.4148429063735778,1.4050177504577073
12355.0,214,1,459.4,240,2,459.4,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.3105440209009983,2.0793320571172105
12356.0,23,3,2811.43,1591,26,937.1433333333332,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.2878651870185253,0.03989907109725716
12357.0,33,1,6207.67,2708,32,6207.67,0,0,0,At Risk,Provide special discounts and win-back offers.,1.3376942266730558,1.708667952508268
12358.0,2,2,1168.06,248,1,584.03,0,0,0,At Risk,Provide special discounts and win-back offers.,0.16852006930973948,0.6943425939177327
12359.0,58,4,6372.58,1622,7,1593.145,0,0,0,At Risk,Provide special discounts and win-back offers.,0.8050358882971929,1.1409003786128373
12360.0,52,3,2662.06,1165,1,887.3533333333334,0,0,0,At Risk,Provide special discounts and win-back offers.,0.3990522406676067,1.1014080469935832
12361.0,287,1,189.9,91,3,189.9,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.5183782424945257,2.440167846974661
12362.0,3,10,5226.23,2229,3,522.6229999999999,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,1.0908080824875006,0.2577753177448466
12363.0,110,2,552.0,408,36,276.0,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,-0.3965911435811906,0.06375542410356731
12364.0,8,4,1313.1,1506,3,328.275,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.36800032240991987,0.5000436971352501
12365.0,291,2,641.38,174,7,320.69,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.4428144552547394,2.3171840232102903
12367.0,4,1,168.9,173,9,168.9,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,-0.10762554803842603,0.3339057975926196
12370.0,51,4,3545.69,2353,7,886.4225,0,0,0,At Risk,Provide special discounts and win-back offers.,0.5991007864380926,0.8575409919916006
12371.0,45,2,1887.96,591,32,943.98,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,-0.034538078850541255,-5.693935312404071e-05
12372.0,72,3,1298.04,794,9,432.68,0,0,0,At Risk,Provide special discounts and win-back offers.,0.08616148683847186,0.7853667047616923
12373.0,311,1,364.6,197,1,364.6,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.4863546029797113,2.7302013520055572
12374.0,25,1,742.9300000000001,342,1,742.9300000000001,0,0,0,At Risk,Provide special discounts and win-back offers.,0.08378123238184006,0.948846565199222
12375.0,11,2,457.5,178,12,228.75,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,-0.059458869183329946,0.2412755292308264
12377.0,315,2,1628.12,944,32,814.06,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.47137976175790286,1.763138530249472
12378.0,130,1,4008.62,2529,32,4008.62,0,0,2,At Risk,Provide special discounts and win-back offers.,0.647215732498652,1.6398183049167445
12379.0,82,2,852.24,407,3,426.12,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.008222891621342482,1.1064406896010732
12380.0,22,4,2724.81,1127,3,681.2025,0,0,0,At Risk,Provide special discounts and win-back offers.,0.4521335618937297,0.7113128919064234
12381.0,5,5,1845.31,808,24,369.062,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.20067446929238855,-0.3192064884435459
12383.0,185,5,1850.56,1532,3,370.112,0,0,2,At Risk,Provide special discounts and win-back offers.,0.18234475746840895,1.6451934243918542
12384.0,29,2,585.27,126,32,292.635,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,-0.256510544959399,-0.33304854293710995
12386.0,338,2,401.9,354,0,200.95,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.4707343269523869,2.844040652834768
12388.0,16,6,2780.66,1462,0,463.4433333333333,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.6096115207269829,0.6092997087337616
12390.0,80,1,549.84,353,3,549.84,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.06742652465414593,1.1817116908554568
12391.0,22,1,460.89,300,7,460.89,0,0,0,At Risk,Provide special discounts and win-back offers.,-0.03609868166162711,0.6223185789229286
12393.0,72,4,1582.6,816,0,395.65,0,0,0,At Risk,Provide special discounts and win-back offers.,0.23962292000617874,1.0447728279114172
12394.0,64,2,1272.48,819,3,636.24,0,0,0,At Risk,Provide special discounts and win-back offers.,0.1315130588895263,1.0643944103240996
12395.0,19,12,3018.63,2118,3,251.5525,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.9775053270741147,0.14702417874000545
12397.0,36,2,2409.9,1263,3,1204.95,0,0,0,At Risk,Provide special discounts and win-back offers.,0.3980102114190821,1.0760646666314413
12398.0,46,1,1635.66,1394,32,1635.66,2,0,0,Occasional Customer,Send personalized emails and re-engagement campaigns.,0.09954938551144629,0.2900086225914845
12399.0,119,4,1108.65,1178,3,277.1625,0,0,2,At Risk,Provide special discounts and win-back offers.,0.12745588005984096,1.215722555507989
12401.0,303,1,84.3,11,3,84.3,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.5782846445746036,2.5111266856573806
12402.0,323,1,225.6,94,3,225.6,0,0,2,At Risk,Provide special discounts and win-back offers.,-0.5682778402464163,2.6917770836875543
12403.0,50,1,427.7,96,9,427.7,0,0,0,At Risk,Provide special discounts and win-back offers.,-0.13115786743503363,0.722918560355288
12405.0,149,1,1710.39,857,12,1710.39,0,0,2,At Risk,Provide special discounts and win-back offers.,0.06773289244806614,1.7054111779677348
